*TIPO CURSO;IES;*IES_ID;CAMPUS;*CAMPUS_ID;*NOME DO CURSO;*TURNO;*QTDE DE MENSALIDADE DO CURSO;MENSALIDADE;*VALOR DO CURSO;*ID_CLASSIFICAÇÃO;CLASSIFICAÇÃO;*ID_ENFASE;ENFASE;*DESCRIÇÃO CURTA;*Ativo;*ID AREA DE CONHECIMENTO;ID PRODUTO PRVALER;ID_CURSO_IES;MATRICULA;"";"erro";
GRADUAÇÃO;FACULDADE ESTÁCIO DE RIB PRETO;1149;POLO POPULAR - RIO VERDE - GO;20498;FORMACÃO PEDAGÓGICA - PEDAGOGIA;EAD - Ensino à Distância;18;383,17;6897,06;163;FORMACÃO PEDAGÓGICA - PEDAGOGIA;326;PEDAGOGIA;GRA-FOR-POL-EAD;1;7;189;;;"";"";
GRADUAÇÃO;FACULDADE ESTÁCIO DE RIB PRETO;1149;POLO POPULAR - RIO VERDE - GO;20498;PEDAGOGIA - SEGUNDA LICENCIATURA;EAD - Ensino à Distância;18;383,17;6897,06;163;PEDAGOGIA - SEGUNDA LICENCIATURA;326;PEDAGOGIA;GRA-PED-POL-EAD;1;7;189;;;"";"";
GRADUAÇÃO;FACULDADE ESTÁCIO DE RIB PRETO;1149;POLO POPULAR - RIO VERDE - GO;20498;PROCESSOS ESCOLARES;EAD - Ensino à Distância;24;408,17;9796,08;417;PROCESSOS ESCOLARES;745;GESTÃO DE PROCESSOS;GRA-PRO-POL-EAD;1;6;189;;;"";"";
GRADUAÇÃO;FACULDADE ESTÁCIO DE RIB PRETO;1149;POLO POPULAR - RIO VERDE - GO;20498;PROCESSOS GERENCIAIS;EAD - Ensino à Distância;24;408,17;9796,08;171;PROCESSOS GERENCIAIS;344;PROCESSOS GERENCIAIS;GRA-PRO-POL-EAD;1;7;189;;;"";"";
GRADUAÇÃO;FACULDADE ESTÁCIO DE RIB PRETO;1149;POLO POPULAR - RIO VERDE - GO;20498;PUBLICIDADE E PROPAGANDA;EAD - Ensino à Distância;48;478,34;22960,32;189;PUBLICIDADE E PROPAGANDA;380;PUBLICIDADE E PROPAGANDA;GRA-PUB-POL-EAD;1;7;189;;;"";"";
GRADUAÇÃO;FACULDADE ESTÁCIO DE RIB PRETO;1149;POLO POPULAR - RIO VERDE - GO;20498;RELAÇÕES INTERNACIONAIS;EAD - Ensino à Distância;48;478,34;22960,32;197;RELAÇÕES INTERNACIONAIS;392;RELAÇÕES INTERNACIONAIS;GRA-REL-POL-EAD;1;6;189;;;"";"";
GRADUAÇÃO;FACULDADE ESTÁCIO DE RIB PRETO;1149;POLO POPULAR - RIO VERDE - GO;20498;SECRETARIADO EXECUTIVO;EAD - Ensino à Distância;42;478,34;20090,28;203;SECRETARIADO EXECUTIVO;399;SECRETARIADO;GRA-SEC-POL-EAD;1;7;189;;;"";"";
GRADUAÇÃO;FACULDADE ESTÁCIO DE RIB PRETO;1149;POLO POPULAR - RIO VERDE - GO;20498;SEGURANÇA NO TRABALHO;EAD - Ensino à Distância;36;408,17;14694,12;204;SEGURANÇA NO TRABALHO;402;SEGURANÇA DO TRABALHO;GRA-SEG-POL-EAD;1;7;189;;;"";"";
GRADUAÇÃO;FACULDADE ESTÁCIO DE RIB PRETO;1149;POLO POPULAR - RIO VERDE - GO;20498;SISTEMAS DE INFORMAÇÃO;EAD - Ensino à Distância;48;478,34;22960,32;243;SISTEMAS DE INFORMAÇÃO;528;SISTEMA DA INFORMAÇÃO;GRA-SIS-POL-EAD;1;1;189;;;"";"";
GRADUAÇÃO;FACULDADE ESTÁCIO DE RIB PRETO;1149;POLO POPULAR - RIO VERDE - GO;20498;SISTEMAS PARA INTERNET;EAD - Ensino à Distância;30;408,17;12245,1;243;SISTEMAS PARA INTERNET;528;SISTEMA DA INFORMAÇÃO;GRA-SIS-POL-EAD;1;1;189;;;"";"";
